,Title,Author,Price
49,Python資料科學學習手冊(第二版),Jake VanderPlas  何敏煌,"優惠價: 9 折, 882 元"
50,Python X ChatGPT程式設計實務：從入門到精通step by step,榮欽科技,"優惠價: 9 折, 612 元"
51,圖說演算法-使用Python(第二版)【好評回饋版】,吳燦銘  胡昭民,"優惠價: 9 折, 450 元"
52,Python+OpenCV：機器學習+深度學習40大電腦視覺案例入門到實戰,李立宗,"優惠價: 9 折, 1080 元"
53,流暢的 Python|清晰、簡潔、高效的程式設計 第二版,Luciano Ramalho  賴屹民,"優惠價: 9 折, 1080 元"
54,Python資料分析必備套件!Pandas資料清理、重塑、過濾、視覺化,Matt Harrison  Theodore Petrou  李侑穎  蔣佑仁,"優惠價: 95 折, 741 元"
55,Python資料科學自學聖經：不只是建模!用實戰帶你預測趨勢、找出問題與發現價值(附關鍵影音教學、範例檔),文淵閣工作室  鄧文淵,"優惠價: 9 折, 522 元"
56,Python 資料結構×演算法 刷題鍛鍊班：234 題帶你突破 Coding 面試的難關,謝樹明,"優惠價: 95 折, 618 元"
57,少年Py的大冒險：成為Python AI深度學習達人的第一門課(修訂版),林澤佑  焉然   蔡炎龍  黃瑜萍,"優惠價: 95 折, 551 元"
58,必學!Python 資料科學‧機器學習最強套件：NumPy、Pandas、Matplotlib、OpenCV、scikit-learn、tf.Keras,石川聡彦  劉金讓,"優惠價: 95 折, 646 元"
59,OpenCV影像創意邁向AI視覺王者歸來(全彩印刷),洪錦魁,"優惠價: 9 折, 801 元"
60,CPython設計與實現,N/A,N/A
61,CPython Internals: Your Guide to the Python 3 Interpreter,N/A,N/A
62,Python自學聖經(第三版)：從程式素人到開發強者的技術、實戰與AI應用大全 (電子書),N/A,N/A
63,Python初學特訓班(第六版)：從快速入門、主流應用到AI全面實戰 (電子書),N/A,N/A
64,Python ✕ Power BI ✕ Excel 和 AI 神隊友打造辦公室作業 + 數據分析自動化,N/A,N/A
65,超圖解 Python 程式設計入門,N/A,N/A
66,Python初學特訓班(第五版)：從快速入門到主流應用全面實戰(附500分鐘影音教學/範例程式),N/A,N/A
67,【最新ITS認證版】Python零基礎入門班(含ITS Python國際認證模擬試題),N/A,N/A
